id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
325,Anaesthesia,Monitoring,2,The 'Shark Fin' appearance on a capnograph indicates:,Hypoventilation,Rebreathing,Bronchospasm,Esophageal intubation,Bronchospasm,Obstructed airflow during exhalation (Asthma/COPD) leads to a slow rise in the capnograph curve.
326,General Surgery,Trauma,2,Which of the following is the most commonly injured 'solid organ' in blunt abdominal trauma?,Liver,Spleen,Kidney,Pancreas,Spleen,"The spleen is the most frequently injured solid organ, followed by the liver."
327,General Surgery,Biliary,4,The 'HIDA Scan' is the most accurate test for:,Gallstones,Acute Cholecystitis,CBD stones,Biliary Colic,Acute Cholecystitis,"Non-visualization of the gallbladder on HIDA scan confirms cystic duct obstruction, diagnostic of acute cholecystitis."
328,General Surgery,Basics,1,Sterilization of 'Sharp Instruments' is best done by:,Autoclaving,Hot air oven,Boiling,Radiation,Hot air oven,Hot air oven (Dry heat) prevents rusting and dulling of sharp edges.
329,General Surgery,Urology,3,The 'Water-hammer' pulse in the scrotum is seen in:,Varicocele,Inguinal hernia,Hydrocele,Testicular torsion,Varicocele,Cough impulse or palpation of veins in varicocele may mimic this sensation.
330,General Surgery,GIT,3,The 'Sentinel Loop' on abdominal X-ray is a sign of:,Appendicitis,Acute Pancreatitis,Intestinal obstruction,Volvulus,Acute Pancreatitis,It represents localized ileus in a loop of small bowel near the inflamed pancreas.
331,Orthopaedics,Pediatric,4,A 'Shenton’s Line' disruption on X-ray is suggestive of:,Femur fracture,Hip Dislocation (DDH),Pelvic fracture,Rickets,Hip Dislocation (DDH),The smooth arc formed by the femoral neck and superior pubic ramus is broken in hip displacement.
332,Orthopaedics,Trauma,2,The 'Tennis Elbow' involves inflammation of the origin of:,Common Flexors,Common Extensors,Biceps,Triceps,Common Extensors,Lateral epicondylitis (Tennis elbow) affects the ECRB muscle origin.
333,Orthopaedics,Infection,3,The 'Involucrum' in chronic osteomyelitis refers to:,Dead bone,New bone formation,Pus in the bone,Sinus tract,New bone formation,Sequestrum is dead bone; Involucrum is the layer of new bone that forms around it.
334,Anaesthesia,Local Anaesthesia,2,Which of the following is an 'Ester' type local anaesthetic?,Lignocaine,Bupivacaine,Cocaine,Ropivacaine,Cocaine,"Esters (one 'i' in the name): Cocaine, Procaine. Amides (two 'i's): Lignocaine, Bupivacaine."
335,Anaesthesia,Regional,3,The 'Bier’s Block' is a type of:,Spinal anaesthesia,Epidural anaesthesia,Intravenous Regional Anaesthesia (IVRA),Nerve block,Intravenous Regional Anaesthesia (IVRA),Bier’s block involves injecting local anaesthetic into a vein of an exsanguinated limb isolated by a tourniquet.
336,General Surgery,Hepatobiliary,2,Which of the following is the most common cause of 'Pyogenic Liver Abscess'?,E. coli,Staph aureus,Klebsiella,Entamoeba histolytica,E. coli,E. coli is the most common organism reaching the liver via the biliary system.
337,General Surgery,GIT,3,The 'Howship-Romberg Sign' (pain in the medial thigh) is a sign of:,Inguinal Hernia,Femoral Hernia,Obturator Hernia,Lumbar Hernia,Obturator Hernia,"The hernia compresses the obturator nerve, causing pain in the medial thigh/knee."
338,General Surgery,Urology,2,Investigation of choice for 'Vesicoureteral Reflux' (VUR) is:,USG,IVP,MCU (Micturating Cystourethrogram),CT,MCU (Micturating Cystourethrogram),MCU is the gold standard for diagnosing and grading VUR.
339,General Surgery,Breast,3,The 'Stewart-Treves Syndrome' refers to angiosarcoma developing in the setting of:,Chronic Lymphedema,Radiation therapy,Breast implants,Fibroadenoma,Chronic Lymphedema,Typically occurs in the arm following axillary dissection and chronic lymphedema for breast cancer.
340,General Surgery,Vascular,2,Which of the following is the primary site of 'Peripheral Arterial Embolism'?,Aortic bifurcation,Femoral bifurcation,Popliteal artery,Iliac artery,Femoral bifurcation,The femoral bifurcation is the most common site for an embolus to lodge.
341,Orthopaedics,Spine,3,The 'Scottie Dog Sign' on oblique X-ray is used to diagnose:,Scoliosis,Spondylolysis,Kyphosis,Disc herniation,Spondylolysis,A break in the neck of the 'dog' represents a fracture of the pars interarticularis.
342,Orthopaedics,Trauma,1,The most common site of 'Clavicle' fracture is:,Medial 1/3,Middle 1/3,Lateral 1/3,Acromioclavicular joint,Middle 1/3,80% of clavicle fractures occur at the junction of the middle and lateral thirds.
343,Orthopaedics,Nerve,3,The 'Froment’s Sign' is positive in palsy of which nerve?,Median,Ulnar,Radial,Axillary,Ulnar,The patient uses the flexor pollicis longus (median) to grip paper because the adductor pollicis (ulnar) is weak.
344,Anaesthesia,Spinal,4,Total Spinal Anaesthesia (a complication) results in:,Severe Hypertension,Tachycardia,Apnea and Hypotension,Fever,Apnea and Hypotension,High spread of local anaesthetic paralyzes the diaphragm (C3-C5) and blocks the cardiac sympathetic fibers.
345,Anaesthesia,Drugs,2,The specific antagonist for 'Benzodiazepines' is:,Naloxone,Flumazenil,Neostigmine,Atropine,Flumazenil,Flumazenil reverses sedation caused by drugs like Midazolam or Diazepam.
346,General Surgery,Appendicitis,2,The 'Rovsing’s Sign' is characterized by:,Pain in RLQ on palpation of LLQ,Pain on internal rotation of hip,Pain on extension of hip,Pain on coughing,Pain in RLQ on palpation of LLQ,"Pressure on the left side pushes gas toward the inflamed appendix, causing pain."
347,General Surgery,Pancreas,3,Which of the following is used to calculate the 'Ranson’s Criteria' at admission?,BUN,Serum Calcium,WBC Count,PaO2,WBC Count,"At admission: Age, WBC, Glucose, AST, LDH. (BUN and Calcium are measured at 48 hours)."
348,General Surgery,Head & Neck,1,The most common site of 'Salivary stones' is:,Parotid duct,Submandibular duct,Sublingual duct,Minor salivary gland,Submandibular duct,Submandibular stones (Wharton’s duct) are more common because the saliva is more alkaline and viscous.
349,General Surgery,Basics,2,A 'Clean' surgical wound has an expected infection rate of:,< 2%,5-10%,15-20%,> 30%,< 2%,"Clean wounds (e.g., hernia, thyroid) have the lowest infection rates."
350,General Surgery,Urology,3,The 'Gubernaculum' is a structure associated with:,Kidney development,Testicular descent,Bladder formation,Urethral development,Testicular descent,It is the mesenchymal cord that guides the testis into the scrotum.
351,Orthopaedics,Trauma,3,The 'Dinner Fork Deformity' is seen in:,Colles fracture,Smith fracture,Galeazzi fracture,Monteggia fracture,Colles fracture,Dorsal displacement of the distal radius fragment gives this appearance.
352,Orthopaedics,Spine,2,Which of the following is the most common cause of 'Kyphosis' in adolescents?,Pott’s spine,Scheuermann’s disease,Scoliosis,Rickets,Scheuermann’s disease,It is a developmental disorder leading to wedging of the vertebrae.
353,Orthopaedics,Nerve,1,The 'Ape Thumb' deformity is due to paralysis of which nerve?,Radial,Ulnar,Median,Axillary,Median,Loss of thenar muscles results in the thumb falling into the same plane as the fingers.
354,Anaesthesia,Airway,3,The 'Sellick’s Maneuver' involves:,Cricoid pressure,Thyroid pressure,Head tilt,Jaw thrust,Cricoid pressure,It is used during rapid sequence induction to prevent aspiration of gastric contents.
355,Anaesthesia,Inhalational,4,Which anaesthetic agent has the 'Lowest' MAC (Minimum Alveolar Concentration)?,Nitrous Oxide,Sevoflurane,Halothane,Desflurane,Halothane,Lower MAC means higher potency. Halothane (0.75%) is much more potent than Sevoflurane (2%) or N2O (104%).
356,General Surgery,GIT,2,The 'Gold Standard' for diagnosing a Perforated Peptic Ulcer is:,USG,CT Abdomen,Erect Chest X-ray,Barium meal,Erect Chest X-ray,Shows pneumoperitoneum (gas under the diaphragm) in 70-80% of cases.
357,General Surgery,Hepatobiliary,3,The 'Gallstone Ileus' is most commonly caused by a fistula between the gallbladder and:,Stomach,Duodenum,Colon,Jejunum,Duodenum,Large gallstones erode through the gallbladder into the 1st or 2nd part of the duodenum.
358,General Surgery,Vascular,3,A 'Venous Ulcer' is typically located:,On the tips of toes,Over the lateral malleolus,Over the medial malleolus (Gaiter zone),On the heel,Over the medial malleolus (Gaiter zone),Venous ulcers are shallow and located in the gaiter area; arterial ulcers are deep and distal.
359,General Surgery,Breast,1,The most common site of 'Breast Cancer' is:,Upper Inner Quadrant,Upper Outer Quadrant,Lower Inner Quadrant,Lower Outer Quadrant,Upper Outer Quadrant,Approximately 50% of breast cancers occur in the upper outer quadrant.
360,General Surgery,Basics,2,A 'Marjolin’s Ulcer' is a squamous cell carcinoma arising in:,A healthy skin,A chronic burn scar,A mole,A surgical incision,A chronic burn scar,"Malignant transformation occurring in chronic ulcers, scars, or sinus tracts."
361,Orthopaedics,Trauma,3,A fracture of the 'Talar Neck' may lead to Avascular Necrosis due to which artery being injured?,Artery of the tarsal canal,Dorsalis pedis,Posterior tibial,Peroneal,Artery of the tarsal canal,"Blood supply to the talar body enters via the neck, making it vulnerable in fractures."
362,Orthopaedics,Metabolic,1,The 'Sun-ray' appearance on X-ray is characteristic of:,Ewing’s sarcoma,Osteosarcoma,Osteoclastoma,Osteoma,Osteosarcoma,It represents malignant spicules of bone radiating from the cortex.
363,Orthopaedics,Nerve,3,Injury to the 'Long Thoracic Nerve' causes:,Wrist drop,Winging of Scapula,Claw hand,Foot drop,Winging of Scapula,Paralysis of the Serratus Anterior muscle.
364,Anaesthesia,Local Anaesthesia,3,Which additive 'Increases' the duration of action of local anaesthetics?,Sodium bicarbonate,Adrenaline,Hyaluronidase,Potassium,Adrenaline,"Vasoconstriction reduces systemic absorption, keeping the drug at the site longer."
365,Anaesthesia,Regional,2,The landmark for 'Epidural' anaesthesia in an adult is:,L2-L3,L3-L4,T12-L1,C7-T1,L3-L4,Intervertebral spaces below the spinal cord terminus (L1-L2) are used for safety.
366,General Surgery,GIT,4,The 'Mizuo-Nakamura phenomenon' is associated with which surgery?,Vagotomy,Gastrectomy,Whipple's,None of the above,None of the above,This is a trap question. It is an Ophthalmology finding (night blindness). Always double-check terms in FMGE!
367,General Surgery,Urology,2,The 'Phren’s Sign' is negative in:,Epididymitis,Testicular Torsion,Orchitis,Hydrocele,Testicular Torsion,Scrotal elevation does not relieve pain in torsion (it may even worsen it).
368,General Surgery,Appendicitis,3,The 'Psoas Sign' (pain on hip extension) indicates an appendix in which position?,Retrocecal,Pelvic,Pre-ileal,Post-ileal,Retrocecal,The inflamed appendix lies against the psoas major muscle.
369,General Surgery,Head & Neck,2,The most common site for a 'Branchial Cyst' is:,Upper 1/3 of Sternocleidomastoid,Middle 1/3 of Sternocleidomastoid,Lower 1/3 of Sternocleidomastoid,Midline neck,Upper 1/3 of Sternocleidomastoid,Found at the junction of the upper and middle third of the anterior border of the SCM.
370,General Surgery,Basics,3,Which of the following is used for 'Cold Sterilization'?,Autoclave,Ethylene Oxide (ETO),Hot air oven,Boiling water,Ethylene Oxide (ETO),"Used for items that cannot withstand high temperatures (e.g., plastics, catheters)."
371,Orthopaedics,Trauma,3,A 'Galeazzi Fracture' is a fracture of the:,Radial shaft + DRUJ dislocation,Ulnar shaft + Radial head dislocation,Distal radius + Dorsal displacement,Distal radius + Volar displacement,Radial shaft + DRUJ dislocation,Radial shaft fracture with Distal Radio-Ulnar Joint dislocation.
372,Orthopaedics,Pediatric,1,The 'Nursemaid’s Elbow' involves subluxation of the:,Radial head,Ulnar head,Humerus,Scapula,Radial head,Common in toddlers after a sudden pull on the arm.
373,Orthopaedics,Bone Tumor,3,Which tumor characteristically shows a 'Nidus' on X-ray?,Osteoma,Osteoid Osteoma,Osteoblastoma,Chondroma,Osteoid Osteoma,A small radiolucent nidus surrounded by reactive sclerosis.
374,Anaesthesia,Monitoring,2,The most sensitive monitor for 'Venous Air Embolism' is:,Capnography,Pulse Oximetry,Precordial Doppler,ECG,Precordial Doppler,Can detect very small amounts of air entering the heart.
375,Anaesthesia,Airway,1,An 'LMA' (Laryngeal Mask Airway) is a type of:,Endotracheal tube,Supraglottic airway,Oropharyngeal airway,Nasopharyngeal airway,Supraglottic airway,It sits above the glottis and is easier to insert than an ET tube.
376,General Surgery,Trauma,2,Which of the following is the 'Lethal Triad' in trauma?,"Hypotension, Tachycardia, Pain","Acidosis, Coagulopathy, Hypothermia","Fever, Jaundice, Pain","Hypoxia, Hypercapnia, Acidosis","Acidosis, Coagulopathy, Hypothermia",These three conditions reinforce each other and significantly increase mortality in trauma.
377,General Surgery,Hernia,3,The 'Mackenrodt's Ligament' is relevant in which surgery?,Hernia repair,Hysterectomy,Cholecystectomy,Splenectomy,Hysterectomy,"Also known as the Cardinal ligament, it is a key support of the uterus."
378,General Surgery,GIT,2,A 'Sigmoid Volvulus' on X-ray appears as a:,Target sign,Coffee bean sign,Step ladder sign,Claw sign,Coffee bean sign,The massively dilated loop of sigmoid colon looks like a coffee bean.
379,General Surgery,Pancreas,3,Which of the following is the most common histological type of 'Pancreatic Cancer'?,Adenocarcinoma,Islet cell tumor,Cystadenocarcinoma,Squamous cell carcinoma,Adenocarcinoma,Ductal adenocarcinoma accounts for over 90% of pancreatic malignancies.
380,General Surgery,Basics,1,The 'Rule of 9' in burns is used to calculate:,Depth of burn,Severity of burn,Percentage of Body Surface Area (BSA),Fluid requirement,Percentage of Body Surface Area (BSA),Allows quick estimation of burn extent for fluid resuscitation.
381,Orthopaedics,Trauma,3,Which of the following fractures is known as the 'Bumper Fracture'?,Tibial Plateau fracture,Femoral neck fracture,Pelvic fracture,Ankle fracture,Tibial Plateau fracture,Often caused by a car bumper hitting a pedestrian's knee.
382,Orthopaedics,Nerve,2,The 'Pointed Index' (Benediction sign) is a feature of which nerve palsy?,Radial,Ulnar,Median,Axillary,Median,Inability to flex the thumb and index finger (LOAF muscles).
383,Orthopaedics,Bone Tumor,3,The 'Codman’s Triangle' is a periosteal reaction associated with:,Benign tumors,"Malignant tumors (e.g., Osteosarcoma)",Osteomyelitis,Fracture healing,"Malignant tumors (e.g., Osteosarcoma)",It occurs when the tumor lifts the periosteum away from the bone.
384,Anaesthesia,Inhalational,2,The 'Second Gas Effect' is associated with which gas?,Oxygen,Nitrous Oxide,Isoflurane,Halothane,Nitrous Oxide,Rapid uptake of N2O increases the concentration of the other anaesthetic gas being administered.
385,Anaesthesia,Equipment,2,Which of the following is the 'Most Common' complication of Endotracheal Intubation?,Laryngospasm,Sore throat,Teeth injury,Pneumothorax,Sore throat,Sore throat occurs in nearly 50% of patients after intubation.
386,General Surgery,Biliary,3,"The 'Calot's Triangle' is bounded by the Cystic duct, the Common hepatic duct, and the:",Liver surface,Portal vein,Celiac trunk,Stomach,Liver surface,"Found during cholecystectomy, it contains the cystic artery."
387,General Surgery,Urology,2,What is the most common cause of 'Priapism'?,Sickle cell disease,Trauma,Leukemia,Idiopathic,Idiopathic,"While Sickle Cell is a classic medical cause, the majority of cases are idiopathic or drug-induced."
388,General Surgery,GIT,3,The 'Dance Sign' (empty RLQ) is seen in:,Appendicitis,Intussusception,Cecal Volvulus,Amoebic Colitis,Intussusception,"The cecum is pulled into the ascending colon, leaving the RLQ empty."
389,General Surgery,Breast,3,Which of the following is used to treat 'Cyclical Mastalgia'?,Antibiotics,Danazol or Evening Primrose Oil,Mastectomy,Chemotherapy,Danazol or Evening Primrose Oil,Medical management is preferred for hormonal breast pain.
390,General Surgery,Vascular,2,The 'Trendelenburg Test' for varicose veins is used to assess:,Deep vein patency,Saphenofemoral junction competence,Perforator competence,Arterial supply,Saphenofemoral junction competence,Used to identify the site of reflux in varicose veins.
391,Orthopaedics,Trauma,1,The 'Smith’s Fracture' is characterized by:,Dorsal displacement of radius,Volar displacement of radius,Radial head dislocation,Ulnar fracture,Volar displacement of radius,Also called a 'Reverse Colles' fracture.
392,Orthopaedics,Nerve,4,The 'Hutchinson’s Sign' in the nail refers to:,Fungal infection,Subungual Melanoma,Glomus tumor,Psoriasis,Subungual Melanoma,Pigmentation of the proximal nail fold is a red flag for melanoma.
393,Orthopaedics,Trauma,2,A fracture of the 'Neck of the Femur' is classified by the:,Garden Classification,Neer Classification,Salter-Harris,Frykman,Garden Classification,Garden I-IV describes the degree of displacement.
394,Anaesthesia,Local Anaesthesia,2,Which local anaesthetic has the 'Shortest' duration of action?,Procaine,Lignocaine,Bupivacaine,Ropivacaine,Procaine,Procaine is an ester with very rapid metabolism.
395,Anaesthesia,Emergency,3,What is the drug of choice for 'Malignant Hyperthermia'?,Atropine,Dantrolene,Naloxone,Diazepam,Dantrolene,Dantrolene is a skeletal muscle relaxant that blocks calcium release.
396,General Surgery,Trauma,2,The 'Primary Survey' in trauma must be completed within:,5 minutes,10 minutes,1-2 minutes,30 minutes,1-2 minutes,The primary survey (ABCDE) is meant to identify and treat life-threatening injuries immediately.
397,General Surgery,GIT,3,The 'Ligament of Treitz' marks the anatomical division between:,Stomach and Duodenum,Upper and Lower GI tract,Small and Large bowel,Jejunum and Ileum,Upper and Lower GI tract,It is the suspensory muscle of the duodenum at the duodenojejunal flexure.
398,General Surgery,Urology,1,The most common histological type of 'Renal Cell Carcinoma' is:,Clear Cell,Papillary,Chromophobe,Collecting duct,Clear Cell,Clear cell RCC accounts for about 70-80% of all cases.
399,Orthopaedics,Trauma,3,The 'Salter-Harris' classification is used for:,Femur fractures,Physeal (Growth plate) injuries,Pelvic fractures,Spinal fractures,Physeal (Growth plate) injuries,Grades I-V describes how the fracture involves the growth plate in children.
400,Anaesthesia,Spinal,2,The most common site for 'Post-Dural Puncture Headache' (PDPH) is:,Frontal,Occipital,Generalized,Frontal and Occipital,Frontal and Occipital,PDPH is typically a bifrontal or bioccipital headache that is postural (worse on standing).
401,PSM,Epidemiology,1,The 'Prevalence' of a disease is a:,Rate,Ratio,Proportion,Deviation,Proportion,"Prevalence is the total number of cases (old + new) divided by the total population at a specific point in time, expressed as a proportion."
402,PSM,Epidemiology,2,"In the 'Iceberg Phenomenon' of disease, the floating tip represents:",Subclinical cases,Undiagnosed cases,Clinical cases,Carriers,Clinical cases,The tip of the iceberg represents what the physician sees (clinical/symptomatic cases). The submerged portion represents undiagnosed and subclinical cases.
403,PSM,Epidemiology,3,Which study design is best suited for studying 'Rare Diseases'?,Cohort study,Case-control study,Cross-sectional study,Randomized Controlled Trial,Case-control study,"Case-control studies start with the disease (cases) and look backward for exposure, making them efficient for rare conditions."
404,PSM,Epidemiology,4,The 'Incidence Rate' can be calculated from which type of study?,Case-control study,Cohort study,Cross-sectional study,Ecological study,Cohort study,"Incidence measures new cases occurring over time, which can only be determined by following a healthy group (cohort) forward."
405,PSM,Biostatistics,2,Which measure of central tendency is most affected by 'Extreme Values' (Outliers)?,Mean,Median,Mode,Range,Mean,"The Arithmetic Mean uses the value of every observation, so one very high or very low value will significantly shift it."
406,PSM,Biostatistics,3,"To compare the 'Mean Blood Pressure' between two different groups of patients, which statistical test is used?",Chi-square test,Paired t-test,Unpaired t-test,Standard Error of Proportion,Unpaired t-test,"The Student's t-test is used to compare means between two groups. Since the groups are different patients, the 'unpaired' or 'independent' t-test is used."
407,PSM,Biostatistics,4,The 'P-value' of < 0.05 is generally considered as:,Statistically significant,Statistically insignificant,Clinically insignificant,Probability of Type II error,Statistically significant,A p-value of less than 0.05 means there is less than a 5% probability that the results occurred by chance alone.
408,PSM,Screening,2,The ability of a screening test to identify correctly all those who 'Do Not have' the disease is called:,Sensitivity,Specificity,Positive Predictive Value,Negative Predictive Value,Specificity,Specificity is the True Negative rate. Sensitivity is the True Positive rate.
409,PSM,Communicable Diseases,1,Which of the following is the 'Most Heat Sensitive' vaccine?,BCG,DPT,OPV,TT,OPV,Oral Polio Vaccine (OPV) is the most heat-sensitive vaccine and must be stored at -20°C.
410,PSM,Communicable Diseases,2,"In India, the 'Zero Dose' of OPV refers to the dose given:",At 6 weeks,At birth,At 10 weeks,At 14 weeks,At birth,Zero dose is administered at birth to ensure protection as early as possible before the primary series begins.
411,PSM,Nutrition,3,The 'Reference Protein' used for comparing the quality of other proteins is:,Milk protein,Egg protein,Meat protein,Pulse protein,Egg protein,Egg protein has a biological value of nearly 100 and contains all essential amino acids in the right proportions.
412,PSM,Nutrition,2,Bitot's spots are a clinical sign of the deficiency of:,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,Vitamin A,"Bitot's spots are triangular, pearly-white foamy patches on the conjunctiva due to Vitamin A deficiency."
413,PSM,Communicable Diseases,2,Which of the following is the 'Vector' for Dengue fever?,Anopheles stephensi,Culex quinquefasciatus,Aedes aegypti,Mansonia,Aedes aegypti,"Aedes aegypti (the tiger mosquito) is the primary vector for Dengue, Zika, and Chikungunya."
414,PSM,National Health Programs,3,"Under the 'NTEP' (National TB Elimination Program), the diagnostic tool of choice for TB is:",Sputum Microscopy,Chest X-ray,CBNAAT / NAAT,Mantoux test,CBNAAT / NAAT,NAAT (Nucleic Acid Amplification Test) like GeneXpert is now the primary diagnostic tool as it also detects Rifampicin resistance.
415,PSM,Demography,2,The 'Eligible Couple' refers to a currently married couple where the woman is in the age group of:,15-45 years,18-45 years,15-49 years,21-49 years,15-49 years,15-49 is the standard defined reproductive age group for women in demography.
416,PSM,Contraception,3,What is the most common side effect of 'IUD' (Intrauterine Device) insertion?,Pain,Bleeding,Pelvic Inflammatory Disease,Ectopic Pregnancy,Bleeding,Increased menstrual blood loss (bleeding) is the most common reason for IUD removal.
417,PSM,Environmental Health,2,The 'Horrocks's Apparatus' is used to estimate the dose of:,Alum for water coagulation,Bleaching powder for water disinfection,Fluoride for water fluoridation,Ozone for sterilization,Bleaching powder for water disinfection,It determines how much bleaching powder is needed to disinfect 455 liters of water.
418,PSM,Occupational Health,3,'Byssinosis' is an occupational lung disease caused by the inhalation of:,Coal dust,Silica dust,Cotton fiber dust,Asbestos,Cotton fiber dust,"Also known as 'Monday Chest Tightness,' it is common among workers in the textile industry."
419,PSM,Health Planning,1,The 'Bhave Committee' is primarily associated with:,Medical Education,Basic Health Services,Multipurpose Workers,Health Survey and Development,Basic Health Services,This committee (1966) dealt with the maintenance phase of Malaria eradication and basic health services.
420,PSM,Biostatistics,3,A 'Box-and-Whisker Plot' is used to represent:,Qualitative data,Correlation between two variables,Dispersion and Outliers,Frequency distribution of nominal data,Dispersion and Outliers,"It visually depicts the median, quartiles, and extreme values (outliers) of a dataset."
421,PSM,Nutrition,4,Which of the following has the 'Highest' Glycemic Index?,Ice cream,Whole wheat bread,Glucose,Apple,Glucose,Glucose is used as the standard (GI = 100) to compare other foods.
422,PSM,Communicable Diseases,2,The 'Incubation Period' of Extrinsic cycle of Malaria in the mosquito depends mostly on:,Humidity,Temperature,Altitude,Mosquito density,Temperature,The development of sporozoites in the mosquito is highly temperature-dependent (optimal at 20-30°C).
423,PSM,MCH,2,Which of the following is the most common cause of 'Maternal Mortality' in India?,Sepsis,Obstetric Hemorrhage,Abortion,Obstructed labor,Obstetric Hemorrhage,Postpartum Hemorrhage (PPH) remains the leading cause of maternal deaths in India.
424,PSM,Health Indicators,3,The 'PQLI' (Physical Quality of Life Index) includes all EXCEPT:,Infant Mortality Rate,Life Expectancy at age 1,Literacy,Per Capita Income,Per Capita Income,"PQLI includes IMR, Life expectancy at age 1, and Literacy. Income is part of the HDI (Human Development Index)."
425,PSM,Environmental Health,2,The 'OT Test' (Orthotolidine test) is used to determine:,Turbidity of water,Free and combined chlorine in water,Hardness of water,Dissolved oxygen,Free and combined chlorine in water,It is a colorimetric test used to check the efficacy of chlorination.
426,PSM,Biostatistics,2,"In a 'Normal Distribution' curve, the area covered within Mean ± 2 Standard Deviations is:",68%,95%,99.7%,50%,95%,"±1 SD = 68%, ±2 SD = 95%, ±3 SD = 99.7%."
427,PSM,Communicable Diseases,3,The 'Mantoux Test' is an example of which type of hypersensitivity?,Type I,Type II,Type III,Type IV,Type IV,It is a Delayed-type hypersensitivity reaction mediated by T-cells.
428,PSM,Nutrition,2,Which of the following is the richest source of 'Vitamin C'?,Lemon,Orange,Amla (Indian Gooseberry),Guava,Amla (Indian Gooseberry),Amla contains the highest concentration of Vitamin C among common foods.
429,PSM,Epidemiology,4,The 'Attributable Risk' is calculated to determine:,Strength of association,Impact on public health,Causality,Bias,Impact on public health,It indicates how much of the disease can be prevented if the exposure is removed.
430,PSM,National Health Programs,2,"Under the National Vector Borne Disease Control Program, the drug of choice for 'Kala-azar' is:",Chloroquine,Miltefosine,Quinine,Artesunate,Miltefosine,Miltefosine is the first oral drug used in the treatment of Visceral Leishmaniasis (Kala-azar).
431,PSM,Health Indicators,3,The 'Net Reproduction Rate' (NRR) of 1 means:,Zero population growth,A woman is replaced by one daughter,Two children per family,Total fertility rate of 2.1,A woman is replaced by one daughter,NRR = 1 is the demographic goal for population stabilization in India.
432,PSM,Infections,1,Which of the following is a 'Live Attenuated' vaccine?,Salk Polio,Hepatitis B,BCG,TT,BCG,"BCG (TB), OPV (Sabin), and MMR are live vaccines. Salk and Hep B are killed/subunit vaccines."
433,PSM,Environmental Health,2,The 'Modern Method' of sewage treatment involves which of the following as the first step?,Sedimentation,Screening,Filtration,Sludge digestion,Screening,Screening removes large floating objects before primary sedimentation.
434,PSM,Biostatistics,3,A 'Bar Chart' is used to represent:,Discrete data,Continuous data,Correlation,Time trends,Discrete data,Bar charts represent qualitative/discrete data with gaps between bars. Histograms represent continuous data.
435,PSM,Epidemiology,2,The constant presence of a disease within a geographic area is termed as:,Epidemic,Endemic,Pandemic,Sporadic,Endemic,Endemic is the 'usual' level of disease in a specific area.
436,PSM,Nutrition,3,Deficiency of 'Niacin' causes:,Beri-beri,Scurvy,Pellagra,Rickets,Pellagra,"Pellagra is characterized by the 3 Ds: Dermatitis, Diarrhea, and Dementia."
437,PSM,Health Programs,4,The 'ASHA' worker is placed at which population level?,500,1000,2000,5000,1000,Accredited Social Health Activists (ASHA) are usually selected for every 1000 population.
438,PSM,Demography,2,The 'Dependency Ratio' is calculated based on which age groups?,<15 and >60,<18 and >65,<15 and >65,<10 and >70,<15 and >65,The economically productive age group is 15-64 years; others are dependents.
439,PSM,Biostatistics,3,The square root of 'Variance' is called:,Mean deviation,Standard error,Standard deviation,Coefficient of variation,Standard deviation,Standard deviation measures the spread of data around the mean.
440,PSM,Occupational Health,4,Which pneumoconiosis is characterized by 'Egg-shell calcification' of hilar lymph nodes?,Anthracosis,Silicosis,Asbestosis,Bagassosis,Silicosis,This is a classic radiological sign of silicosis caused by silica dust inhalation.
441,PSM,Contraception,2,The 'Pearl Index' is used to measure:,Maternal mortality,Contraceptive failure rate,Vaccine efficacy,Disease incidence,Contraceptive failure rate,Pearl Index = (Total accidental pregnancies x 1200) / Total months of exposure.
442,PSM,Environment,2,The 'Kata Thermometer' is used to measure:,Air pressure,Cooling power of air,Humidity,Radiation,Cooling power of air,It measures low air velocities and the cooling effect on the body.
443,PSM,Nutrition,3,The 'Limiting Amino Acid' in pulses is:,Lysine,Methionine,Threonine,Tryptophan,Methionine,Pulses are rich in lysine but deficient in methionine. Cereals are the opposite.
444,PSM,Health Programs,1,World Health Day is celebrated every year on:,April 7,May 31,December 1,March 24,April 7,It marks the founding of the WHO in 1948.
445,PSM,Biostatistics,4,Which of the following describes the 'Specificity' of a diagnostic test?,a / (a+c),d / (b+d),a / (a+b),d / (c+d),d / (b+d),Specificity is the number of True Negatives (d) divided by all those without the disease (b+d).
446,PSM,Communicable Diseases,2,The 'Chemoprophylaxis' for a person traveling to a Malaria endemic area is:,Chloroquine,Doxycycline,Primaquine,Quinine,Doxycycline,Doxycycline or Mefloquine are standard for prophylaxis depending on regional resistance.
447,PSM,Communicable Diseases,3,The 'Primary Case' of an epidemic refers to:,The first case noticed by the investigator,The first case to occur in the community,The case that introduces the infection,The most severe case,The first case to occur in the community,The 'Index case' is the first case seen by the health system. The 'Primary case' is the actual first case.
448,PSM,Social Sciences,2,The 'Standard of Living' is best represented by:,Income,GNP,Real GDP per capita,PQLI,Real GDP per capita,It is the economic indicator most closely linked to the standard of living.
449,PSM,Environmental Health,2,The 'Best method' of refuse disposal in a large city is:,Dumping,Incineration,Sanitary Landfill,Composting,Sanitary Landfill,It is the most satisfactory and economical method if land is available.
